Gene
CABLES1
DAO
RGCC
RNU6-457P
CPLX3
CYP2J2
LMAN1L
MIR181A1
CATSPERG
MIR487A
PDE4B
RNA5SP331
SPRR2D
CDH19
DHDDS
HSPA6
ITIH2
MIR299
MIR29C
PANX1
RHBDL3
RNU4-39P
RNU6-256P
THRSP
ELL2P1
HIST2H2AB
HSD11B1
NR1D1
XCL2
ZBTB16
MIR186
RNU4-2
MIR148B
MIR29B2
MIR495
MT1X
MIR15A
RGS1
DCLK1
IRF8
VCAM1
AQP4
DLEU2L
MT1M
OR4F29
AKR1C2
MIR181B1
GLIPR1L2
ITGA8
NR4A1
BDNF
KCNK2
LPAR6
LPCAT2
RNU6-702P
CD53
COCH
DCN
DDIT4
RNVU1-18
GJB6
MIR30E
RNA5SP74
